Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Price (in INR),Year,Looks,Body Type,Engine Type,Number of Cylinders
Aprilia,Italy,RS 660,659,100 hp,67 Nm,6-speed quickshifter,Chain,2,"INR 10,99,000",2021,Sport,Naked,Parallel-twin,2
Aprilia,Italy,Tuono 660,659,100 hp,67 Nm,6-speed quickshifter,Chain,2,"INR 11,99,000",2021,Sport,Naked,Parallel-twin,2
Aprilia,Italy,RS 125,124.9,15 hp,12 Nm,6-speed manual,Chain,2,"INR 4,49,000",2022,Sport,Racing,Single-cylinder,1
Aprilia,Italy,Shiver 900,896,95 hp,90 Nm,6-speed manual,Shaft,2,"INR 13,99,000",2022,Adventure,Naked,V-twin,2
Aprilia,Italy,Tuono 1100,1077,175 hp,121 Nm,6-speed manual,Shaft,2,"INR 19,99,000",2022,Adventure,Naked,V-twin,2
Benelli,Italy,TNT 125,125,11 hp,10.8 Nm,Manual,Chain,2,"1,25,000",2023,Classy,Sport,Single,1
Benelli,Italy,TNT 250,250,27 hp,21.2 Nm,Manual,Chain,2,"1,75,000",2023,Sporty,Sport,Single,1
Benelli,Italy,TNT 300,300,39 hp,26.5 Nm,Manual,Chain,2,"2,00,000",2023,Classy,Sport,Single,1
Benelli,Italy,TNT 600i,600,85 hp,54.6 Nm,Manual,Chain,2,"4,00,000",2023,Sporty,Sport,Parallel-twin,2
Benelli,Italy,TNT 899,899,116 hp,86.3 Nm,Manual,Chain,2,"6,00,000",2023,Sporty,Sport,Triple,3
Benelli,Italy,TRK 251,250,27 hp,21.2 Nm,Manual,Chain,2,"2,25,000",2023,Adventure,Adventure,Single,1
Benelli,Italy,TRK 502,500,47 hp,46 Nm,Manual,Chain,2,"3,50,000",2023,Adventure,Adventure,Parallel-twin,2
Benelli,Italy,Leoncino 500,500,47 hp,46 Nm,Manual,Chain,2,"3,25,000",2023,Retro,Cruiser,Parallel-twin,2
BMW,Germany,G 310 GS,313,34 hp,28 Nm,6-speed Manual,Chain,2,"3,00,000",2023,Adventure,Adventure,Single,1
BMW,Germany,G 310 R,313,34 hp,28 Nm,6-speed Manual,Chain,2,"2,50,000",2023,Sporty,Roadster,Single,1
BMW,Germany,F 850 GS,853,95 hp,92 Nm,6-speed Manual,Shaft,2,"6,00,000",2023,Adventure,Adventure,Parallel-twin,2
BMW,Germany,F 850 GS Adventure,853,95 hp,92 Nm,6-speed Manual,Shaft,2,"8,00,000",2023,Adventure,Adventure,Parallel-twin,2
BMW,Germany,R 1250 GS,"1,170",136 hp,112 Nm,6-speed Manual,Shaft,2,"12,00,000",2023,Adventure,Adventure,Boxer,2
BMW,Germany,R 1250 RT,"1,170",136 hp,112 Nm,6-speed Manual,Shaft,2,"14,00,000",2023,Touring,Cruiser,Boxer,2
BMW,Germany,S 1000 RR,999,199 hp,113 Nm,6-speed Manual,Chain,2,"16,00,000",2023,Sporty,Superbike,Liquid-cooled inline-4,4
BMW,Germany,S 1000 R,999,165 hp,112 Nm,6-speed Manual,Chain,2,"12,00,000",2023,Sporty,Roadster,Liquid-cooled inline-4,4
Brixton Motorcycles,Austria,Cromwell 125,125,11.7 hp,11.9 Nm,Manual,Chain,1,1.50 lakhs,2022,Classy,Cafe Racer,"Single-cylinder, air-cooled",1
